footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.3966996 37.0449499, 37.3967488 37.045008, 37.3968176 37.044975, 37.3967901 37.0449233, 37.3966996 37.0449499))",1,15.3,1990-1999,False
"POLYGON ((37.37918 37.0859503, 37.3791396 37.086062, 37.3792008 37.086076, 37.3792411 37.0859644, 37.37918 37.0859503))",3,46.3,Pre-1970,False
"POLYGON ((37.3687052 37.0492218, 37.3687328 37.0492358, 37.3687447 37.0492209, 37.3687862 37.049242, 37.3687744 37.0492567, 37.3687891 37.0492642, 37.3688189 37.0492793, 37.3688554 37.0492337, 37.368852 37.049232, 37.3688596 37.0492225, 37.3688029 37.0491937, 37.3688077 37.0491876, 37.3687541 37.0491604, 37.3687052 37.0492218))",,,N/A,
"POLYGON ((37.4085413 37.0625949, 37.4084887 37.0625839, 37.4084675 37.062648, 37.4085201 37.062659, 37.4085413 37.0625949))",2,38.4,Pre-1970,True
"POLYGON ((37.8835224 37.3776189, 37.8834803 37.37763, 37.8834516 37.3775607, 37.8834937 37.3775497, 37.8835224 37.3776189))",,,N/A,
"POLYGON ((37.3369969 37.0457344, 37.3370952 37.0457518, 37.3370642 37.0458638, 37.3369658 37.0458464, 37.3369969 37.0457344))",2,33.5,Pre-1970,True
"POLYGON ((37.0718729 36.9472799, 37.0718729 36.9473077, 37.0719018 36.9473077, 37.0719018 36.9473335, 37.0719749 36.9473335, 37.0719749 36.9473077, 37.0719749 36.9472799, 37.0718729 36.9472799))",,,N/A,
"POLYGON ((37.3635744 37.0364977, 37.3634518 37.0365045, 37.3634482 37.036464, 37.3635708 37.0364571, 37.3635744 37.0364977))",2,39.1,Pre-1970,True
"POLYGON ((36.6258032 37.0257098, 36.6257991 37.0257263, 36.6258533 37.0257349, 36.625844 37.025772, 36.6257343 37.0257545, 36.6257476 37.025701, 36.6258032 37.0257098))",,,N/A,
"POLYGON ((37.3507163 37.0846104, 37.3507277 37.0844068, 37.3510217 37.0844173, 37.3510103 37.0846208, 37.3507163 37.0846104))",,,N/A,
