id,Latitude,Longitude,OccupancyClass,StructureType,YearBuilt,NumberOfStories,ReplacementCost
5129,36.578899,36.391701,RES1,C3L,1971,1,2
5130,36.5788,36.391998,RES1,C3L,1971,1,2
5131,36.578999,36.392101,RES1,C3L,1971,1,2
5132,36.579399,36.391998,RES1,C3L,1971,1,2
5133,36.5793,36.3918,RES1,C3L,1971,1,2
5134,36.579399,36.391499,RES1,C3L,1971,1,2
5135,36.579601,36.391399,RES1,C3L,1971,1,2
5136,36.578499,36.390999,RES1,C3L,1971,1,2
5137,36.5788,36.390999,RES1,C3L,1971,1,2
5138,36.578701,36.390499,RES1,C3L,1971,1,2
5139,36.1549,36.256001,RES1,C3L,1971,1,2
5140,36.578999,36.390499,RES1,C3L,1971,1,2
5141,36.578899,36.390301,RES1,C3L,1971,1,2
5142,36.5793,36.390202,RES1,C3L,1971,1,2
5143,36.579498,36.390202,RES1,C3L,1971,1,2
5144,36.579498,36.390099,RES1,C3L,1971,1,2
5145,36.579102,36.389599,RES1,C3L,1971,1,2
5146,36.578499,36.3895,RES1,C3L,1971,1,2
5147,36.5783,36.389599,RES1,C3L,1971,1,2
5148,36.578499,36.389801,RES1,C3L,1971,1,2
5149,36.5783,36.3899,RES1,C3L,1971,1,2
5150,36.5783,36.390499,RES1,C3L,1971,1,2
5151,36.577999,36.390499,RES1,C3L,1971,1,2
5152,36.577999,36.390999,RES1,C3L,1971,1,2
5153,36.1549,36.255901,RES1,C3L,1971,1,2
5154,36.577099,36.3913,RES1,C3L,1971,1,2
5155,36.577202,36.391399,RES1,C3L,1971,1,2
5156,36.576801,36.3913,RES1,C3L,1971,1,2
5157,36.576801,36.391102,RES1,C3L,1971,1,2
5158,36.576698,36.391399,RES1,C3L,1971,1,2
5159,36.576599,36.3913,RES1,C3L,1971,1,2
5160,36.5765,36.3909,RES1,C3L,1971,1,2
5161,36.576801,36.390701,RES1,C3L,1971,1,2
5162,36.576801,36.390499,RES1,C3L,1971,1,2
5163,36.576599,36.390598,RES1,C3L,1971,1,2
5164,36.5765,36.3904,RES1,C3L,1971,1,2
5165,36.576401,36.3904,RES1,C3L,1971,1,2
5166,36.576302,36.390099,RES1,C3L,1971,1,2
5167,36.575901,36.390099,RES1,C3L,1971,1,2
5168,36.575901,36.389702,RES1,C3L,1971,1,2
5169,36.576698,36.390202,RES1,C3L,1971,1,2
5170,36.577202,36.391102,RES1,C3L,1971,1,2
5171,36.578098,36.391499,RES1,C3L,1971,1,2
5172,36.577999,36.391399,RES1,C3L,1971,1,2
5173,36.5779,36.391499,RES1,C3L,1971,1,2
5174,36.577801,36.391399,RES1,C3L,1971,1,2
5175,36.5779,36.391701,RES1,C3L,1971,1,2
5176,36.5779,36.3918,RES1,C3L,1971,1,2
5177,36.577702,36.3923,RES1,C3L,1971,1,2
5178,36.578098,36.3899,RES1,C3L,1971,1,2
5179,36.577801,36.3899,RES1,C3L,1971,1,2
5180,36.577599,36.3899,RES1,C3L,1971,1,2
5181,36.5774,36.3899,RES1,C3L,1971,1,2
5182,36.577599,36.389999,RES1,C3L,1971,1,2
5183,36.577702,36.390202,RES1,C3L,1971,1,2
5184,36.577702,36.390999,RES1,C3L,1971,1,2
5185,36.577599,36.3913,RES1,C3L,1971,1,2
5186,36.5774,36.3913,RES1,C3L,1971,1,2
5187,36.577499,36.391102,RES1,C3L,1971,1,2
5188,36.577801,36.390499,RES1,C3L,1971,1,2
5189,36.577801,36.390701,RES1,C3L,1971,1,2
5190,36.577499,36.3904,RES1,C3L,1971,1,2
5191,36.577499,36.390999,RES1,C3L,1971,1,2
5192,36.5774,36.391102,RES1,C3L,1971,1,2
5193,36.576599,36.3913,RES1,C3L,1971,1,2
5194,36.579399,36.387501,RES1,C3L,1971,1,2
5195,36.578999,36.389301,RES1,C3L,1971,1,2
5196,37.8965,40.229,RES1,C3L,1971,1,2
5197,37.8815,40.227501,RES1,C3L,1971,1,2
5198,37.880798,40.227501,RES1,C3L,1971,1,2
5199,37.880798,40.227299,RES1,C3L,1971,1,2
5200,36.638699,36.214901,RES1,C3L,1971,1,2
5201,36.638,36.213001,RES1,C3L,1971,1,2
5202,36.638599,36.2132,RES1,C3L,1971,1,2
5203,36.6404,36.212799,RES1,C3L,1971,1,2
5204,36.1549,36.255901,RES1,C3L,1971,1,2
5205,37.757801,38.286098,RES1,C3L,1971,1,2
5206,37.758099,38.285099,RES1,C3L,1971,1,2
5207,36.6399,36.218498,RES1,C3L,1971,1,2
5208,36.639801,36.218498,RES1,C3L,1971,1,2
5209,36.6399,36.219101,RES1,C3L,1971,1,2
5210,36.639198,36.2178,RES1,C3L,1971,1,2
5211,36.6394,36.217201,RES1,C3L,1971,1,2
5212,36.639198,36.217098,RES1,C3L,1971,1,2
5213,36.638802,36.216999,RES1,C3L,1971,1,2
5214,36.638599,36.2169,RES1,C3L,1971,1,2
5215,36.638401,36.216801,RES1,C3L,1971,1,2
5216,36.638901,36.217499,RES1,C3L,1971,1,2
5217,36.638802,36.217701,RES1,C3L,1971,1,2
5218,36.638599,36.217701,RES1,C3L,1971,1,2
5219,36.638699,36.217999,RES1,C3L,1971,1,2
5220,36.638599,36.218399,RES1,C3L,1971,1,2
